Player1,Player2,P1_Wins,P2_Wins
73O,85O,0.0,2.0
32O,Q2O,0.0,2.0
JTO,52O,2.0,0.0
K8O,AQO,2.0,0.0
A8S,93S,2.0,0.0
98S,97S,2.0,0.0
QJO,Q5S,2.0,0.0
T6O,J8O,2.0,0.0
T2O,JJO,0.0,2.0
62O,A8O,0.0,2.0
T8O,K2O,2.0,0.0
54S,JTO,0.0,2.0
64O,KJO,0.0,2.0
65O,KQO,2.0,0.0
42S,K5O,2.0,0.0
J9O,K4O,0.0,2.0
JTO,54O,0.0,2.0
KJS,AKO,2.0,0.0
KJS,J3O,0.0,2.0
K7O,ATO,0.0,2.0
86O,82O,2.0,0.0
K7O,J5O,2.0,0.0
Q7O,Q8O,0.0,2.0
86O,K7S,2.0,0.0
K2O,QQO,2.0,0.0
65O,62O,2.0,0.0
43S,A9O,2.0,0.0
K7S,52O,2.0,0.0
JTO,84S,2.0,0.0
64S,T2S,0.0,2.0
Q6O,K5O,2.0,0.0
73O,Q3O,0.0,2.0
K2O,A9S,0.0,2.0
96O,J7O,2.0,0.0
55O,Q7O,2.0,0.0
Q6S,J3O,2.0,0.0
22O,K2O,2.0,0.0
Q5O,87O,2.0,0.0
77O,22O,0.0,2.0
A9S,Q2O,0.0,2.0
98O,T5O,2.0,0.0
64O,Q6O,2.0,0.0
T8O,T3O,2.0,0.0
J4O,84O,2.0,0.0
AJO,75S,2.0,0.0
86S,JTO,0.0,2.0
66O,K4O,2.0,0.0
85O,93O,0.0,2.0
T7O,T2O,2.0,0.0
QJO,22O,2.0,0.0
J4O,76O,0.0,2.0
QTO,42O,2.0,0.0
82O,96O,0.0,2.0
K6O,98O,2.0,0.0
K8S,99O,0.0,2.0
98O,A4O,0.0,2.0
Q8O,T3O,0.0,2.0
42O,Q6O,0.0,2.0
K3S,T7O,2.0,0.0
Q3O,83O,2.0,0.0
T4S,92S,2.0,0.0
QQO,A6O,2.0,0.0
J8O,J4O,2.0,0.0
72O,93O,2.0,0.0
22O,A5O,0.0,2.0
53O,94S,0.0,2.0
J5O,Q8O,2.0,0.0
K4O,J7S,2.0,0.0
K4O,43O,2.0,0.0
J8O,82O,2.0,0.0
66O,J7O,0.0,2.0
